CATION_ANION TEMP PRESSURE xCO2
C0505_A0020 298.15  51.70 0.4928
C0505_A0020 298.15  60.70 0.5280
C0505_A0020 313.20  11.20 0.1158
C0505_A0020 313.20  19.40 0.2055
C0505_A0020 313.20  28.60 0.2849
C0505_A0020 313.20  38.30 0.3370
C0505_A0020 313.20  49.10 0.4106
C0505_A0020 313.20  55.30 0.4402
C0505_A0020 333.20  11.30 0.0930
C0505_A0020 333.20  14.80 0.1304
C0505_A0020 333.20  24.20 0.2077
C0505_A0020 333.20  34.10 0.2615
C0505_A0020 333.20  44.20 0.3167
C0505_A0020 333.20  53.90 0.3600
C0505_A0020 298.20  12.40 0.1370
C0505_A0020 298.20  23.10 0.2640
C0505_A0020 298.20  32.90 0.3310
C0505_A0020 298.20  36.90 0.3930
C0505_A0020 298.20  43.30 0.4350
C0505_A0020 298.20  49.30 0.4770
C0505_A0020 298.20  55.00 0.4900
C0505_A0020 313.20  8.60 0.0820
C0505_A0020 313.20  16.50 0.1540
C0505_A0020 313.20  22.70 0.1970
C0505_A0020 313.20  32.60 0.2850
C0505_A0020 313.20  38.40 0.3250
C0505_A0020 313.20  42.90 0.3500
C0505_A0020 313.20  48.10 0.3800
C0505_A0020 313.20  59.80 0.4660
C0505_A0020 333.20  9.80 0.0720
C0505_A0020 333.20  16.50 0.1190
C0505_A0020 333.20  24.40 0.1690
C0505_A0020 333.20  29.60 0.2000
C0505_A0020 333.20  37.60 0.2440
C0505_A0020 333.20  41.70 0.2840
