solvent_id,temperature_k,pressure_bar,co2_solubility_mol_frac,cation_code,anion_code,ln_pressure_bar,ln_co2_solubility,cation_smiles,anion_smiles,source_record,source_file
C1006_A0054,331.85,120.5,0.6814,C1006,A0054,4.791649752930709,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,341.55,144.0,0.6814,C1006,A0054,4.969813299576001,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.55,59.5,0.7084,C1006,A0054,4.085976312551584,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.15,70.0,0.7084,C1006,A0054,4.248495242049359,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.15,87.5,0.7084,C1006,A0054,4.471638793363569,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.45,114.0,0.7084,C1006,A0054,4.736198448394496,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,331.55,141.5,0.7084,C1006,A0054,4.952299717083292,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,343.15,175.5,0.7084,C1006,A0054,5.167639042905921,-0.3447463730734585,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.95,62.5,0.7322,C1006,A0054,4.135166556742356,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,303.15,81.5,0.7322,C1006,A0054,4.400603020246817,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,312.85,117.0,0.7322,C1006,A0054,4.762173934797756,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.05,151.5,0.7322,C1006,A0054,5.020585624949423,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,331.25,183.5,0.7322,C1006,A0054,5.212214667494625,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,341.75,217.5,0.7322,C1006,A0054,5.382198850528739,-0.31170157829600126,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,299.15,137.0,0.7631,C1006,A0054,4.919980925828125,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,303.85,156.0,0.7631,C1006,A0054,5.049856007249537,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
