il_no,solvent_id,ln_co2_solubility_exp,ln_pressure_mpa,temperature_k,b01_c_c,b03_o_o,b04_n_o,f02_c_c,f04_n_o,h_050,h_053,n_074,ncconj,arr_anion,b02_c_n_anion,b03_n_o_anion,c_025_anion,f03_n_o_anion,f05_n_o_anion,f06_o_o_anion,h_051_anion,nbo_anion,reference,pressure_mpa,co2_solubility_mol_frac,source_sheet,source_file
IL2,[BzMIM][TFES],-0.9441759353636907,1.93441577,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],6.920000002563318,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.9441759353636907,2.080690761,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],8.009999999357055,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.9441759353636907,2.208274414,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],9.10000000434248,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.9441759353636907,2.329227024,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],10.270000000611407,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.9441759353636907,2.43798973,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],11.449999999997152,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.042518188,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],7.710000003274913,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.206074193,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],9.080000003512128,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.352327185,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],10.510000001168084,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.474014209,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],11.870000004491883,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.592265168,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],13.359999998550444,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.8232558659069656,2.69597762,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],14.820000001957114,0.439,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.1690537,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],8.749999996766674,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.348514025,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],10.470000001230796,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.503073954,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],12.22000000313505,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.636912173,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],13.969999996243876,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.760642651,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],15.809999996499972,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.7486598904902041,2.870735783,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],17.649999993305258,0.473,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,2.340843805,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],10.389999998845298,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,2.549445171,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],12.800000000952684,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,2.713369363,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],15.080000006336464,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,2.85819286,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],17.430000008158466,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,2.968874819,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],19.46999999252141,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6911491778972723,3.070839746,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],21.559999999120425,0.501,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6539264674066639,2.571084346,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],13.079999999619993,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6539264674066639,2.765689981,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],15.890000007172354,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6539264674066639,2.917230045,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],18.489999992621875,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6539264674066639,3.042138646,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],20.949999992287328,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6539264674066639,3.146735147,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],23.25999999789454,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
